actor,movie_or_TV_name
Derek Deadman,"{'Lost In London', 'A Little Bit Of Wisdom', 'Doctor Who: The Invasion of Time', 'The Canterbury Tales', 'Bread', 'The Sign of Four', ""The Beggar's Opera"", 'The Taming of the Shrew', 'Porridge', 'Doctor Who', 'Frankenstein: The True Story', 'The Modern World: Ten Great Writers', ""Robin's Nest"", ""Harry Potter and the Philosopher's Stone"", 'The Big Sleep', 'Jabberwocky', 'The Sooty Show', 'Sooty & Co.', 'Funny Money', 'A Nightingale Sang In Berkeley Square', 'The Apple', 'Never Say Never Again', 'Sherlock Holmes', 'The Glitterball', ""National Lampoon's European Vacation"", 'Honest', 'She Fell Among Thieves', 'Super Gran', 'The Sweeney', 'The Knowledge', 'The Scarlet Pimpernel', 'Time Bandits', 'BBC2 Play of the Week', 'Dr. Watson and the Darkwater Hall Mystery', 'Crush', 'The Darwin Adventure', 'Robin Hood: Prince of Thieves', 'Morons from Outer Space', 'Brazil', 'Queen Kong', 'Never the Twain'}"
Richard Bremmer,"{'Ourhouse', ""Mr. Loveday's Little Outing"", 'Scarlet and Black', 'Shanghai Knights', 'Performance', 'Zastrozzi: A Romance', 'The Lost Explorer', 'Control', 'Twelfth Night, or What You Will', 'Kingdom', 'Murder on the Home Front', 'The Hollow Crown', 'City Slacker', 'Volpone', ""Harry Potter and the Philosopher's Stone"", 'Richard II', 'The Third Day', 'Swallows and Amazons', 'Les Misérables', 'Charles II: The Power and The Passion', 'Beowulf: Return to the Shieldlands', 'The Girl with Brains in Her Feet', 'Viper in the Fist', 'Made in Britain', 'Flux Gourmet', 'The Order', 'Peak Practice', 'Mr. Turner', 'Ripper 2: Letter from Within', 'Stars of the Roller State Disco', 'The Song of Names', 'Perdition County', 'Crime and Punishment', 'Onegin', 'Macbeth', 'Just Visiting', 'The Alienist', 'To Kill a King', 'The Aryan Couple', 'By the Sword Divided', 'In Fabric', 'In the Heart of the Sea', 'Star Wars: The Rise of Skywalker', 'Half Past Dead', 'The 13th Warrior', ""Agatha Christie's Marple"", 'The Power of Three'}"
Simon Fisher-Becker,"{""Harry Potter and the Philosopher's Stone"", 'Doctor Who: A Good Man Goes To War Prequel', 'P.R.O.B.E.: Giles Case Files', 'Carnage: Swallowing the Past', 'Puppy Love', 'Arrivederci Millwall', 'The Great Director', 'Doctor Who', 'Les Misérables', 'Harry Potter: Hogwarts Tournament of Houses', 'Reduced To Clear', 'Izzy Vs Jess'}"
Harry Taylor,"{""Harry Potter and the Philosopher's Stone"", 'Sweeney Todd: The Demon Barber of Fleet Street', 'Enid', 'The Da Vinci Code', 'Harry Potter and the Chamber of Secrets', 'Demon of Paradise', 'The Trip to Greece', 'Alice in Wonderland', 'Mission Manila', 'Charlie and the Chocolate Factory', 'Dark Shadows'}"
Elizabeth Spriggs,"{'Soldier Soldier', 'The Haunting of Cassie Palmer', 'The Young Indiana Jones Chronicles', 'The Enigma', 'Prometheus: The Life of Balzac', 'The Old Devils', 'Doctor Who', 'Middlemarch', 'The Cause', ""Able's Will"", 'Young Charlie Chaplin', 'The Royal', 'A Christmas Carol', 'Doctor Who: Paradise Towers', 'The Adventures of Young Indiana Jones: Adventures in the Secret Service', 'Tales from the Crypt', ""Lady Chatterley's Lover"", 'Oranges Are Not the Only Fruit', 'The Sleeper', ""Spider's Web"", 'Shine on Harvey Moon', 'Time for Murder', 'Alice in Wonderland', 'The Hour of the Pig', 'Intensive Care', 'Sakharov', 'Play for Today', 'Anglo Saxon Attitudes', 'Those Glory Glory Days', 'Impromptu', 'Shackleton', 'The Thirteenth Day of Christmas', 'An Unsuitable Job for a Woman', 'BBC Play of the Month', 'Survival of the Fittest', 'Casualty', 'Our Winnie', 'Midsomer Murders', ""The Queen of Sheba's Pearls"", 'Afternoon Off', ""All's Well That Ends Well"", ""Takin' Over the Asylum"", ""Richard's Things"", 'Heartbeat', ""James Ellis: An Actor's Life"", 'For My Baby', 'Love Letters on Blue Paper', 'Rust', 'Is Anybody There?', 'Jericho', 'Nice Guy Eddie', 'Sense and Sensibility', ""3 Into 2 Won't Go"", 'Work Is a 4-Letter Word', 'Lovejoy', 'Leeds United!', ""Agatha Christie's Poirot"", 'Kind of Living', 'Julius Caesar', 'The Secret Agent', ""The Devil's Disciple"", 'The Expert', 'Fothergill', 'Bergerac', 'Love Soup', 'The Cold Room', 'Parker', 'The Last Vampyre', 'BBC Television Shakespeare', 'A Pinch of Snuff', 'The Kindness of Mrs Radcliffe', 'Watching', 'Black and Blue', 'Paradise Road', 'Class Act', 'The Dybbuk', 'Objects of Affection', 'Martin Chuzzlewit', ""Harry Potter and the Philosopher's Stone"", 'Sherlock Holmes', 'The Barber of Siberia', 'Randall & Hopkirk (Deceased)', 'Simon and the Witch', 'Victorian Scandals', 'Jeeves and Wooster', 'Tales of the Unexpected', 'Wives and Daughters', 'The Merry Wives of Windsor', 'Festival', 'The Ruth Rendell Mysteries', 'Fox', 'The Glittering Prizes'}"
Terence Bayler,"{'Chemical Wedding', 'Upstairs, Downstairs', 'The Venturers', 'Broken Barrier', 'This Office Life', 'Pulaski', 'Old Man March Is Dead', 'Doctor Who', ""You Can't Win"", 'Mystery and Imagination', 'Renoir, My Father', 'Doctor Who: The Ark', ""Harry Potter and the Philosopher's Stone"", 'Special Branch', 'Life of Brian', 'Justice', 'The Hunchback of Notre Dame', 'Eye of the Storm', 'Crystalstone', 'Life Begins', 'Traitor', 'The Vanishing Army', 'Time Bandits', 'The Remains of the Day', 'Dr. Watson and the Darkwater Hall Mystery', 'The Light Princess', 'The Snow Queen', 'The Regiment', 'Macbeth', 'The Rivals of Sherlock Holmes', 'Brazil', 'Doctor Who: The War Games', 'Play for Today', 'The Lie'}"
Nina Young,"{'A Lump In My Throat', 'Tomorrow Never Dies', 'How to Please a Woman', 'The Surfer', 'Out of the Ashes', 'The Demon Headmaster', 'The Magnificent Eleven', ""Harry Potter and the Philosopher's Stone"", 'The Mistress of Spices', 'Johnny English', ""Things to Do Before You're 30"", 'Molly Moon and the Incredible Book of Hypnotism', 'Take a Girl Like You', 'Sliding Doors', 'Game On', 'Warrior Angels', ""Pilgrim's Rest"", 'Clash of the Titans', 'England, My England', 'The Woman on the Cliff', 'Two Golden Balls'}"
Geraldine Somerville,"{'Performance', 'The Safe House', 'The Black Velvet Gown', 'The Girl', 'The Inspector Lynley Mysteries', 'Kiss Me First', 'Goodbye Christopher Robin', 'Quirke', 'The Children', 'My Week with Marilyn', 'Harry Potter and the Deathly Hallows: Part 1', 'Jericho', 'Automata', 'The Deep Blue Sea', 'Inspector George Gently', ""Harry Potter and the Philosopher's Stone"", 'Silent Witness', 'Prime Suspect 1973', 'Grace of Monaco', 'Harry Potter and the Order of the Phoenix', 'Survivors', 'Daylight Robbery', 'Casualty', ""Agatha Christie's Poirot"", 'A Business Affair', 'Harry Potter and the Half-Blood Prince', 'Romeo and Juliet', 'Christmas in the Highlands', 'Aristocrats', 'The Gentlemen', 'Titanic', 'The Hippopotamus', 'Close My Eyes', 'Gorka', 'True Blue', 'Murder in Mind', 'New Tricks', 'Sixty Six', 'Daphne', 'Jilting Joe', ""The Making of 'Gosford Park'"", 'Harry Potter and the Prisoner of Azkaban', 'Kids in Love', 'Haunted', 'The Riot Club', 'After Miss Julie', 'Cracker', 'The Bill', 'Fair Play', 'Harry Potter and the Goblet of Fire', 'Gosford Park', 'Harry Potter and the Deathly Hallows: Part 2'}"
Ray Fearon,"{'Coffee Wars', 'Cleaner', 'The Lady of Heaven', 'Lessons of the Hour', 'Champion', ""Harry Potter and the Philosopher's Stone"", 'In Search of Shakespeare', 'Christmas in the Caribbean', 'Red Dwarf: The Promised Land', 'Keen Eddie', 'National Theatre Live: Macbeth', 'Above Suspicion', 'Waking the Dead', 'The Girlfriend Experience', 'Boys On Film 8: Cruel Britannia', 'Memory', 'A Christmas Carol', 'The Clandestine Marriage', 'Midsomer Murders', 'Hamlet', 'Moving On', 'The Protégé', 'Julius Caesar', 'Death in Paradise', 'Father Christmas Is Back', 'Shakespeare & Hathaway - Private Investigators', '2036 Origin Unknown', 'The Hooligan Factory', 'An Audience with...', 'My Fault: London', 'Fleabag', 'The Foreigner', 'His Dark Materials', 'Christmas in Paradise', 'Ein Sommer in Kapstadt', 'Hamilton: In the Interest of the Nation', ""The Chef's Letter"", 'Barbie', 'One Year Off', 'As If', 'Swede Caroline', 'Lulu and Jimi', 'Beauty and the Beast'}"
Bonnie Wright,"{'Stranded', 'The Great Sport Relief Bake Off', 'The Replacements', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Deathly Hallows: Part 1', 'Those Who Wander', 'Before I Sleep', ""Harry Potter and the Philosopher's Stone"", 'Fantastic Friends', 'Agatha Christie: A Life in Pictures', 'Sweat', 'My Dad Is Scrooge', 'Harry Potter and the Order of the Phoenix', 'A Christmas Carol', 'Harry Potter and the Half-Blood Prince', 'After the Dark', ""Medusa's Ankles"", 'Sextant - Pisces', 'Know Thyself', 'The Sea', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'Disney Parks Christmas Day Parade', 'Who Killed Nelson Nutmeg?', 'David Holmes: The Boy Who Lived', 'Separate We Come, Separate We Go', 'How (Not) to Rob a Train', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Deathly Hallows: Part 2'}"
