actor,movie_or_TV_name
Warwick Davis,"{'Chingari', ""Gulliver's Travels"", 'Harry Potter and the Chamber of Secrets', 'A Very Unlucky Leprechaun', 'Doctor Who', 'The Entire Universe', 'Gordon', 'Have I Got a Bit More News for You', 'Get Santa', 'Jonathan Creek', 'Leprechaun 2', 'Small Town Folk', 'When Harry Left Hogwarts', ""Catherine Tate's Nan"", 'Ewoks: The Battle for Endor', 'Harry Potter: A History Of Magic', 'Catchphrase', 'The Chronicles of Narnia: Prince Caspian', 'Horrible Histories: The Movie - Rotten Romans', ""Bear's Mission with..."", ""Duck Quacks Don't Echo"", 'The Art of Breaking Character', ""Monty Python's Best Bits (Mostly)"", 'Comic Relief: Red Nose Day', 'Star Wars: Episode I - The Phantom Menace', 'Who Shot Simon Cowell?', 'Moley', 'The White Pony', 'Harry Potter and the Deathly Hallows: Part 2', ""Dr. Terrible's House of Horrible"", ""Don't Crash: The Documentary of the Making of the Movie of the Book of the Radio Series of 'The Hitchhiker's Guide to the Galaxy'"", 'Downton Abbey', 'Tenable', 'Star Wars: Tales of the Empire', 'The Great Comic Relief Bake Off', 'Miranda:  Morecambe & Wise and Me', 'Extras', 'When Karl Met Warwick', 'The Unbroken', 'Solo: A Star Wars Story', 'Star Wars: The Force Awakens', 'The Fast Show', 'Monty Python Live (Mostly)', 'Leprechaun: Back 2 tha Hood', 'An Idiot Abroad', 'Appointment with Dr. Terrible', 'Rogue One: A Star Wars Story', 'The 10th Kingdom', 'Leprechaun 3', 'Harry Potter and the Prisoner of Azkaban', 'Leprechaun in the Hood', 'Ready Steady Cook', 'Harry Potter and the Goblet of Fire', 'Master Moley By Royal Invitation', 'Maleficent: Mistress of Evil', 'The Ewok Adventure', ""The Hitchhiker's Guide to the Galaxy"", 'The Chronicles of Narnia: Prince Caspian & The Voyage of the Dawn Treader', 'Merlin', 'The Chronicles of Narnia: The Silver Chair', 'Harry Potter and the Deathly Hallows: Part 1', 'Empire of Dreams: The Story of the Star Wars Trilogy', 'Star Wars Rebels', 'Room 101', 'Harry Potter and the Order of the Phoenix', 'The New Adventures of Pinocchio', 'Harry Potter and the Half-Blood Prince', 'Saint Bernard', ""Al's Lads"", 'Willow', 'Through the Keyhole', 'Leprechaun 4: In Space', 'Star Wars: Greatest Moments', 'Willow: The Making of an Adventure', 'Who Do You Think You Are?', 'Return of the Jedi', 'Star Wars: The Rise of Skywalker', 'When Star Wars Ruled the World', 'Arthouse', 'Skinned Deep', 'Weekend Escapes with Warwick Davis', 'Labyrinth', 'Jack the Giant Slayer', 'Big Fat Quiz', 'Prince Valiant', 'Warwick Davis: The Seven Dwarfs of Auschwitz', 'M.I. High', 'Top Gear', ""Harry Potter and the Philosopher's Stone"", 'Star Wars: The Last Jedi', ""Life's Too Short"", 'Murder Rooms: Mysteries of the Real Sherlock Holmes', 'Perspectives', 'Billionaire Boy', 'Ray', 'Return of the Ewok', 'Willow: Behind the Magic', 'The Chronicles of Narnia', 'Would I Lie to You?', 'The Last Laugh', 'Bring Back...', 'Classic Creatures: Return of the Jedi', 'Ashens and the Quest for the Gamechild', 'Snow White', 'Celebrity Juice', ""Harry Hill's Alien Fun Capsule"", 'Leprechaun'}"
Oliver Phelps,"{'Harry Potter and the Deathly Hallows: Part 2', ""Harry Potter and the Philosopher's Stone"", 'Fantastic Friends', 'Harry Potter and the Prisoner of Azkaban', ""A Mind's Eye"", 'Kingdom', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Deathly Hallows: Part 1', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'Last Night in Soho', 'Harry Potter: Wizards of Baking', 'Harry Potter and the Goblet of Fire', 'Danny & the Human Zoo', 'Harry Potter and the Half-Blood Prince', 'La resistencia'}"
Matthew Lewis,"{'Happy Valley', 'Where the Heart Is', 'Drunk History', 'This Is Personal: The Hunt for the Yorkshire Ripper', 'City Central', 'Girlfriends', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Deathly Hallows: Part 1', 'The Rise', 'Dalziel & Pascoe', ""Harry Potter and the Philosopher's Stone"", 'Bluestone 42', 'All Creatures Great & Small', 'The Sweet Shop', 'Harry Potter and the Order of the Phoenix', 'Daniel Radcliffe: Being Harry Potter', 'Harry Potter and the Half-Blood Prince', 'Impractical Jokers', 'Avoidance', 'Death in Paradise', 'Ripper Street', 'Me Before You', 'Baby Done', 'Terminal', 'The Syndicate', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'Some Kind of Life', 'Trailing Tonks', 'Heartbeat', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'Harry Potter: Hogwarts Tournament of Houses', 'Harry Potter and the Deathly Hallows: Part 2', ""The Children's Party at the Palace""}"
David Bradley,"{'Your Christmas or Mine?', 'Broadchurch', 'Ashes to Ashes', 'Kisses at Fifty', 'An Adventure in Space and Time', 'Harry Potter and the Chamber of Secrets', ""Guillermo del Toro's Pinocchio"", 'Doctor Who', 'The King Is Alive', 'Doctors Assemble', 'Another Sunday and Sweet F.A.', 'The Responder', 'Nicholas Nickleby', 'When Harry Left Hogwarts', 'Vanity Fair', 'The Union', 'Harold Pinter:  A Celebration', 'Beowulf: Return to the Shieldlands', 'Captain America: The First Avenger', 'Prick Up Your Ears', 'Game of Thrones', 'Ideal', 'Exorcist: The Beginning', 'Our Mutual Friend', 'New Tricks', 'The Mayor of Casterbridge', 'Type', 'Frankenstein', 'Cracker', 'Gangs of London', 'Play for Today', 'Band of Gold', 'Harry Potter and the Deathly Hallows: Part 2', 'Full Stretch', 'Broadcast Signal Intrusion _', 'Performance', 'Doctor Who: Twice Upon a Time', 'Harry Brown', 'Doomwatch: Winter Angel', 'The Hollow Crown', 'Bad Girl', ""Prisoners' Wives"", 'Hot Fuzz', 'Your Christmas or Mine 2', 'Tartuffe, or The Imposter', 'Kangaroo Palace', 'The Buddha of Suburbia', 'Findings on a Late Afternoon', 'Criminal', 'Wizards: Tales of Arcadia', 'Casualty', 'Midsomer Murders', 'Between the Lines', 'Charles II: The Power and The Passion', 'The Wilsons', 'A Master of the Marionettes', 'Chicken Run: Dawn of the Nugget', 'After Life', 'A Touch of Frost', 'Criminal Minds', 'Mr Harvey Lights a Candle', 'Our Friends in the North', 'The Young Messiah', 'World Without End', 'Edmund the Magnificent', 'Harry Potter and the Prisoner of Azkaban', 'The Frisco Kid', 'Station Jim', 'Harry Potter and the Goblet of Fire', 'The Colour of Magic', 'Gabriel & Me', 'Cracker: White Ghost', 'The Tudors', 'This Is Not a Love Song', 'Altered Species', 'Hang Ups', 'Lycanthropy', ""My Sister's Bones"", 'Another Year', 'Roy', 'Catherine Called Birdy', 'Harry Potter and the Order of the Phoenix', 'Red Mercury', 'Waking the Dead', 'Bill Brand', 'Harry Potter and the Half-Blood Prince', 'Five Daughters', 'Bad Education', 'In Your Dreams', 'Wycliffe', 'Measure for Measure', 'I Know You Know', 'The Lodgers', ""The World's End"", 'King of the Ghetto', 'Blackpool', 'The Holding', 'The Daisy Chain', 'True Dare Kiss', 'Playhouse', 'Coma', 'Sweeney Todd', 'The Way We Live Now', 'Clapperclaw', 'The Intended', 'Fair Game', 'Wild West', 'Celebrity Antiques Road Trip', 'Frankenstein: A Modern Myth', 'The Sarah Jane Adventures', 'Reckless', ""Tom's Midnight Garden"", 'The Moth', 'Martin Chuzzlewit', 'Benidorm', 'Double Pisces, Scorpio Rising', ""Harry Potter and the Philosopher's Stone"", 'Bad Sugar', 'Bramwell', 'Les Misérables', 'Good Grief', 'The Strain', 'Allelujah', 'Kiss and Tell', 'Left Luggage', 'Await Further Instructions', 'Blow Dry', 'Reckless: The Sequel', 'Eternal Law', 'Jolt', ""Guillermo del Toro's Pinocchio: Handcarved Cinema"", 'Great British Menu', 'The Professionals'}"
Fiona Shaw,"{'The Triumph of Love', 'Shakespeare: The Animated Tales', 'Andor: A Disney+ Day Special Look', 'Harry Potter and the Chamber of Secrets', 'That Christmas', 'For the Greater Good', 'The White King', 'Killing Eve', 'The Last September', 'The Black Dahlia', 'Maigret', 'Park Avenue', 'Maigret Sets A Trap', 'Enola Holmes', 'Fleabag', 'Theatre Night', 'Gormenghast', '梅格雷的陷阱', 'The Butcher Boy', 'Empire', 'We Believed', 'Fireworks for Elspeth', 'Inside No. 9', 'Performance', 'True Detective', 'The Rising: 1916', ""Simon Schama's John Donne"", 'Ebb and Flo', 'Mind Games', 'Star Wars: Andor', 'Great Poets: In Their Own Words', 'Anna Karenina', 'The Last Machine', 'Persuasion', 'Hedda Gabler', 'Baptiste', 'Emerald City', 'National Theatre Live: London Assurance', '3 Men and a Little Lady', 'Harry Potter and the Prisoner of Azkaban', 'Mountains of the Moon', 'Undercover Blues', 'The Tree of Life', 'RKO 281', 'Titanic Town', 'Russia vs. the World', 'Harry Potter and the Deathly Hallows: Part 1', 'Mitchell And Kenyon In Ireland', 'Richard II', 'The Avengers', 'Lizzie', 'Harry Potter and the Order of the Phoenix', 'Muse of Fire', 'The Christmas Letter', 'Ruby', 'Mrs Wilson', 'The Hippopotamus', ""Shakespeare's Sonnets"", 'Ammonite', 'Out of Innocence', 'The English Teacher', 'Jane Eyre', 'Super Mario Bros.', ""Agatha Christie's Marple"", 'Tony Awards', 'London Kills Me', 'True Blood', 'Penn Zero: Part-Time Hero', 'Echo Valley', 'The Waste Land', 'Tchaikovsky: Eugene Onegin', 'My Left Foot: The Story of Christy Brown', ""Harry Potter and the Philosopher's Stone"", 'Colette', 'Sacred Hearts', 'Fracture', 'Sherlock Holmes', ""Maria's Child"", 'Trial & Retribution', 'Love Song', 'Catch and Release', 'Monstrous Beauty', 'Pixels', 'Hot Milk', 'IF', 'Dorian Gray', 'Channel Zero', 'Kindred', 'The Hand of Stalin', 'Great Britons'}"
Richard Griffiths,"{'Pirates of the Caribbean: On Stranger Tides', 'Harry Potter and the Chamber of Secrets', 'Withnail & I', 'Crown Court', 'In the Red', 'Opa!', 'Twelve Off the Belt', 'An Audience with...', 'Pie in the Sky', 'Ballet Shoes', 'Six Fifty-Five Special', 'Gormenghast', 'Guarding Tess', 'Sleepy Hollow', 'Gandhi', 'A Light Snack', 'Hope and Glory', 'Princes in the Tower', 'Shanghai Surprise', 'The Hollow Crown', 'King Ralph', 'Bedtime Stories', 'Village Hall', 'Goldeneye', 'Private Peaceful', 'Venus', 'The Naked Gun 2½: The Smell of Fear', 'Afternoon Off', 'The Sweeney', 'Gorky Park', ""It Shouldn't Happen to a Vet"", 'Well Thank You, Thursday', 'Breaking Glass', 'A Breed of Heroes', 'Showing Up', 'A Private Function', 'The History Boys', 'Harry Potter and the Prisoner of Azkaban', 'Britannia Hospital', 'Episodes', 'Whoops Apocalypse', ""The Hitchhiker's Guide to the Galaxy"", 'The Comedy of Errors', 'The Cleopatras', 'A Muppets Christmas: Letters to Santa', 'Harry Potter and the Deathly Hallows: Part 1', 'El C.I.D.', 'Jackboots on Whitehall', ""It's Only Rock 'n' Roll"", 'Lovejoy', 'Stage Beauty', 'Harry Potter and the Order of the Phoenix', ""The French Lieutenant's Woman"", 'Kind of Living', 'National Theatre Live: The Habit of Art', ""Mr. Wakefield's Crusade"", 'The Brides in the Bath', 'Bergerac', 'Jeffrey Archer: The Truth', 'Countdown', 'Chariots of Fire', 'BBC Television Shakespeare', 'About Time', 'Tony Awards', 'Bird of Prey', 'Blame It on the Bellboy', 'Greystoke: The Legend of Tarzan, Lord of the Apes', 'Ragtime', 'Casanova', ""Harry Potter and the Philosopher's Stone"", 'Minder', 'Ffizz', 'Funny Bones', 'Pebble Mill', 'Sleepy Hollow: Behind the Legend', ""The World Cup: A Captain's Tale"", 'Superman II', 'Bleak House', 'Boon', 'Perfect Scoundrels', 'The Movie Life of George', 'TLC', 'The Marksman', 'Ted & Ralph', 'Vatel', 'The Merry Wives of Windsor', 'Norma', 'The World of Peter Rabbit and Friends', 'Hugo', 'Inspector Morse'}"
Ian Hart,"{'Nothing Personal', 'The Terror', 'Ripley Under Ground', 'No Surrender', 'The Man who Crossed Hitler', 'Rogue', ""Dad's Dead"", 'Born Romantic', 'The Responder', 'Bates Motel', 'Aberdeen', 'Shetland', 'When Harvey Met Bob', 'Cheeky', 'Morris: A Life with Bells On', 'UK18', 'Best', 'The Butcher Boy', 'Eroica', 'A View of Harry Clark', 'Liam', 'Bait', 'Frogs for Snakes', 'Snodgrass', 'The Hound of the Baskervilles', 'Loved Up', 'The Mosquito Coast', 'The Bridge', 'Robinson Crusoe', 'Urban Hymn', 'Michael Collins', 'Gold In The Streets', 'Klondike', 'Tin Star', 'Backbeat', 'The Monocled Mutineer', 'Mr Bates vs The Post Office', ""Johnno's Dead"", 'Help', 'The Virgin Queen', 'Dusty and Me', 'The Magic Touch of Harry Potter', ""God's Own Country"", ""Marvel's Agents of S.H.I.E.L.D."", 'Finding Neverland', 'Monument Ave.', 'Mary Queen of Scots', 'The Englishman Who Went Up a Hill But Came Down a Mountain', 'Land and Freedom', 'The Hours and Times', 'Blind Flight', 'Strictly Sinatra', 'Breakfast on Pluto', 'Enemy of the State', 'The Driver', 'Dirt', 'Five Daughters', 'Modern Life Is Rubbish', 'The Secret Agent', 'Rag Tale', 'Strings', 'Elementary', 'Intervention', 'Hollow Reed', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'A Cock and Bull Story', 'The 11th Green', 'One Summer', 'PTSD', 'Wonderland', 'Den of Lions', 'The Trap', 'B. Monkey', 'Father & Son', 'Spring Forward', ""This Year's Love"", 'Within the Whirlwind', 'The Closer You Get', 'The End of the Affair', 'Watching', 'Luck', 'The Zip', 'Vinyl', 'Killing Me Softly', ""Harry Potter and the Philosopher's Stone"", 'The Last Kingdom', 'Shoshana', 'Mojo', 'My Mad Fat Diary', 'Left Over', 'Moving On', 'Marlowe', 'Longitude', 'Escape from Pretoria', 'Native', 'Carry on Ken', 'A Boy Called Dad', 'The Marksman', 'Dough', 'Hard Boiled Sweets', 'Clockwork Mice', 'Sherlock Holmes and the Case of the Silk Stocking'}"
Robbie Coltrane,"{'Effie Gray', 'Still Game', ""Boswell and Johnson's Tour of the Western Isles"", 'Thompson', 'Buddy', 'National Treasure', 'Where the Heart Is', 'Harry Potter and the Chamber of Secrets', 'The Fruit Machine', 'Flash Gordon', 'Lenny Live and Unleashed', 'Scrubbers', 'Arthur Christmas', 'Great Expectations', 'The Secret Policeman’s Biggest Ball', 'When Harry Left Hogwarts', 'Alive and Kicking', 'Gooby', 'In Search of James Bond with Jonathan Ross', 'Message in a Bottle', 'Robbie Coltrane: B-Road Britain', 'Henry V', 'Death Watch', 'Aspel & Company', 'Alice in Wonderland', 'Jealousy', 'An Audience with...', 'Cracker: Nine Eleven', 'Saturday Night Clive', 'Subway Riders', 'Dirty Movie', 'Five Go Mad on Mescalin', 'Cracker', 'Caravaggio', 'The Robbie Coltrane Special', 'The Gruffalo', 'The World Is Not Enough', 'Kevin Turvey: The Man Behind the Green Door', 'The Ebb-Tide', 'Space Virgins from Planet Sex', 'Mona Lisa', 'Harry Potter and the Deathly Hallows: Part 2', 'Midnight Breaks', 'The Bogie Man', 'The Secret Policeman’s Third Ball', 'Nuns on the Run', ""Bert Rigby, You're a Fool"", 'Oh, What a Night', 'An Audience with Billy Connolly', 'Five Go Mad in Dorset', 'GoldenEye: The Secret Files - The Cast', 'The Brothers Bloom', 'Frogs for Snakes', 'The Best of French & Saunders', ""Robbie Coltrane's Critical Evidence"", 'GLC: The Carnage Continues', 'The South Bank Show', 'The Return of Bond: The Start of Production Press Event', 'South Atlantic Raiders: Part 1', 'The Bullshitters: Roll Out the Gunbarrel', 'Summer School', 'Defence of the Realm', 'Urban Myths', 'Provoked: A True Story', 'Red Nose of Courage', 'Let It Ride', 'Still Game: The Story So Far', 'The Magic Touch of Harry Potter', 'South Atlantic Raiders:  Part 2 Argie Bargie!', 'From Hell', 'Van Helsing', 'Chinese Boxes', 'Laugh??? I Nearly Paid My Licence Fee', 'The Adventures of Huck Finn', 'Harry Potter and the Prisoner of Azkaban', 'Eat the Rich', 'Slipstream', ""Where's Elvis This Week?"", 'Harry Potter and the Goblet of Fire', 'Britannia Hospital', 'The Crystal Cube', 'Cracker: White Ghost', 'Friday Night with Jonathan Ross', 'The Strike', 'Blackadder', 'Susie', 'Loose Connections', 'Harry Potter and the Deathly Hallows: Part 1', 'French & Saunders', 'Tutti Frutti', 'The Comic Strip Presents...', 'Waterloo Sunset', 'The Hunt for Tony Blair', 'Harry Potter and the Order of the Phoenix', 'The Beat Generation', 'Harry Potter and the Half-Blood Prince', ""National Lampoon's European Vacation"", 'Hooray For Holyrood', 'Triple Bogey On A Par Five Hole', 'Murderland', 'Ghost Dance', '50 Greatest Harry Potter Moments', 'The Planman', 'Revolution', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'Perfectly Normal', 'Gino: Full Story and Pics', 'Stormbreaker', '30 Years of Comic Strip', ""Blackadder's Christmas Carol"", 'Are You Being Served?', 'The Tale of Despereaux', 'The Limit', 'The Legend of Lochnagar', 'War', 'Danny the Champion of the World', 'Wogan', 'On the Nose', 'Brave', 'Shooting Stars', 'Krull', 'GoldenEye', 'Comic Relief', 'Alfresco', 'McGinn of the Calton', 'The Young Ones', 'Robbie Coltrane: Incredible Britain', ""Harry Potter and the Philosopher's Stone"", 'Minder', ""Ocean's Twelve"", 'Robbie Coltrane at the BBC', 'Goldeneye: The Secret Files', 'A Kick Up the Eighties', 'Lead Balloon', 'Frasier', ""Blackadder's Most Cunning Moments"", 'Byrne About Byrne', 'Stanley Baxter in Person', 'Van Helsing: The London Assignment', 'The Movie Life of George', ""The Gruffalo's Child"", 'Pride', 'Girls On Top', 'Demonella', 'Absolute Beginners', 'Parkinson', ""Coltrane's Planes and Automobiles"", 'The Pope Must Diet', 'The Supergrass', 'Montana', ""The Secret Policeman's Ball"", 'Five Go to Rehab'}"
Maggie Smith,"{'A Room with a View', 'The Merchant of Venice', 'Mad About the Boy: The Noël Coward Story', 'The Secret Garden', 'Harry Potter and the Chamber of Secrets', 'Talking Heads', 'The Oscars', 'Talking Pictures', 'Richard III', 'Child in the House', 'Evil Under the Sun', 'The Last September', 'National Theatre Live: 50 Years on Stage', 'Nanny McPhee and the Big Bang', 'Entertainment Tonight', 'The Lady in the Van', 'Ladies in Lavender', ""The Making of Agatha Christie's 'Evil Under the Sun'"", ""The Making of 'Gosford Park'"", 'Great Performances', 'Death on the Nile', 'From Time to Time', 'Gosford Park', 'Harry Potter and the Deathly Hallows: Part 2', 'The Millionairess', 'Downton Abbey', 'Sister Act', 'Olivier Talks About Othello', 'BBC Play of the Month', 'Go to Blazes', 'Washington Square', 'A Boy Called Christmas', 'Becoming Jane', 'The Honey Pot', 'Young Cassidy', 'The Best of The Tony Awards: The Plays', 'The Magic Touch of Harry Potter', 'Oh! What a Lovely War', 'A Private Function', ""All the King's Men"", 'Tea with Mussolini', 'A German Life', 'Return to Downton Abbey: A Grand Event', 'Harry Potter and the Prisoner of Azkaban', 'Suddenly, Last Summer', ""Francesco's Italy: Top to Toe"", 'Mrs. Silly', 'Harry Potter and the Goblet of Fire', 'Rod Taylor: Pulling No Punches', 'Better Late Than Never', 'Honest Trailers', 'Memento Mori', 'The V.I.P.s', 'Divine Secrets of the Ya-Ya Sisterhood', 'The Lonely Passion of Judith Hearne', 'David Copperfield', 'Hot Millions', 'Woolf Works', 'Travels with My Aunt', 'Downton Abbey: A New Era', 'The Pumpkin Eater', 'Robin And Mark And Richard III', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince', 'Sister Act 2: Back in the Habit', 'My Old Lady', 'Love and Pain and the Whole Damn Thing', 'Gnomeo & Juliet', 'Maggie Smith at the BBC: a portrait', 'Hook', 'My House in Umbria', 'The Carol Burnett Show', 'Romeo.Juliet', 'Tony Awards', 'Nothing Like a Dame', ""Harry Potter and the Philosopher's Stone"", 'Lily in Love', 'The Second Best Exotic Marigold Hotel', 'Death on the Nile: Making of Featurette', 'The Marvellous Maggie Smith: A Celebration', 'Dames of Classic Drama at the BBC', 'Curtain Call', 'Capturing Mary', 'Quartet', 'Keeping Mum', 'The Graham Norton Show', 'The First Wives Club', 'California Suite', 'The Best Exotic Marigold Hotel', 'Nowhere to Go', 'The Missionary', 'Much Ado About Nothing', 'Othello', 'The Miracle Club', 'Sherlock Gnomes', 'The Prime of Miss Jean Brodie', 'Clash of the Titans', 'Murder by Death'}"
John Hurt,"{'Two Nudes Bathing', 'Natural World', 'Damascus Cover', 'The StoryTeller', 'I, Claudius: A Television Epic', ""Heaven's Gate"", 'Jackie', 'Doctor Who', 'Dmitri Shostakovich: A Man of Many Faces', 'Frankenstein Unbound', 'Partners', 'The Jim Henson Hour', 'On Jupiter', 'New York, I Love You', 'The Strange Case of Yukio Mishima', 'Doctor Who: The Day of the Doctor', 'Hiroshima', 'Valiant', 'Ultramarines: A Warhammer 40,000 Movie', 'Inside the Actors Studio', 'The Hunting of the Snark', 'Spaceballs', 'The Five(ish) Doctors Reboot', 'Little Sweetheart', 'The Wild and the Willing', 'I Dreamt I Woke Up', 'Hellboy', 'Wimbledon The Official Film 2014', 'Paul McCartney: From Rio to Liverpool', 'The Terrible Elephant Man Revealed', 'Rabbit Ears - Aladdin and the Magic Lamp', 'Who Bombed Birmingham?', ""The Alchemist's Letter"", 'V for Vendetta', 'Love at First Sight', 'The Elephant Man', 'Hellboy II: The Golden Army', 'Waking Sleeping Beauty', 'Hellboy Animated: Blood and Iron', 'Crime and Punishment', 'The Final Reel', 'New Blood', 'Golden Globe Awards', 'Manderlay', 'Frightmares', 'More Than Honey', 'Back to Utopia', 'Wild Bill', 'The Day of the Doctor: Cinema Intro', 'Three Dangerous Ladies', 'Miranda', 'The Ghoul', 'The Gruffalo', 'Great Performances', 'Once Upon a Halloween', 'The Limits of Control', 'Play for Today', ""Captain Corelli's Mandolin"", 'One Last Score', 'Harry Potter and the Deathly Hallows: Part 2', 'The Commissioner', 'Midnight Express', 'Stream Line', 'An Englishman in New York', 'Doctor Who: The Night of the Doctor', 'Performance', 'Iceberg', '10 Rillington Place', 'Behind Jim Jarmusch', 'Armchair Theatre', 'Windprints', 'Outlander', 'Bait', 'Jonathan Ross Presents for One Week Only: David Lynch', 'The Hollow Crown', ""Whistle and I'll Come to You"", 'King Ralph', 'David Macaulay: Pyramid', 'History of the World: Part I', 'The Lord of the Rings', 'Hellboy: The Seeds of Creation', 'After Darkness', 'Short Order', 'The Snipist', 'This Is My Street', 'The Pied Piper', 'Spectre', 'Shaolin: Wheel of Life', 'Success Is the Best Revenge', 'Mr. Forbush and the Penguins', 'Ballybrando', 'The Last Panthers', 'Masters of Science Fiction', 'The One Show', 'Tabloid', 'Bare Knuckle', 'From the Hip', ""Thomas & Friends: Sodor's Legend of the Lost Treasure: The Movie"", 'That Good Night', 'The Sweeney', 'Before Winter Comes', 'Lecture 21', 'Dogville', 'The Alien Saga', 'Rob Roy', 'Dead Man', 'The Confession', 'HypaSpace', 'Shooting Dogs', 'Night Crossing', 'The Disappearance', 'The Playboy of the Western World', 'The 50 Greatest Television Dramas', 'AIDS: Monolith', ""Gideon's Way"", 'Owning Mahowny', 'Break', 'Immortals', 'Ayamé', 'Planet Dinosaur', 'Great Moments in Aviation', 'Scandal', 'Night Train', 'The World of Jim Henson', 'Six Characters in Search of An Author', 'Live Aid', 'Doctor Who Live: The Afterparty', 'On Borrowed Time', 'Champions', 'Merlin', 'Tender Loving Care', 'The Sailor from Gibraltar', 'Harry Potter and the Deathly Hallows: Part 1', 'Little Malcolm and His Struggle Against the Eunuchs', 'Paul McCartney - Take It Away', 'Jake Speed', 'The Hidden Wars of Desert Storm', 'Richard Attenborough: A Life in Film', 'The Hollywood Greats', 'GMTV', 'Thames Film', 'Monolith', 'I, Claudius', ""Krapp's Last Tape"", 'Muse of Fire', 'My Name Is Lenny', 'The Osterman Weekend', 'The Storyteller', 'Wessex Tales', 'Hello: A Portrait Of Leslie Phillips', 'Journey to Knock', 'Only Lovers Left Alive', 'Saigon Baby', 'In Love with Alma Cogan', 'Alien', 'In Search of Gregory', 'Melancholia', 'Lost Souls', 'Shadowing the Third Man', 'A.K.A Nadia', 'Benjamin Britten: Peace and Conflict', 'Contact', ""Jayne Mansfield's Car"", 'A Ghost Story for Christmas', '44 Inch Chest', 'Who Do You Think You Are?', ""You're Dead..."", 'Nineteen Eighty-Four', 'Perfume: The Story of a Murderer', 'Sightseers', ""A Turtle's Tale: Sammy's Adventures"", 'The Bengali Night', 'Human Planet', 'Brighton Rock', 'The Plot Against Harold Wilson', 'NOVA', 'Picture Windows', 'Second Best', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Romeo.Juliet', 'Labyrinth', 'Remembrance', 'Deadline', 'The Naked Civil Servant', 'Dark at Noon', 'White Mischief', 'Lapse of Memory', 'The Proposition', 'Hannibal Hopkins & Sir Anthony', 'Sailcloth', 'Sinful Davey', 'The Tigger Movie', 'Aria', 'Sunset People', 'The Peddler', '23 Degrees, 5 Minutes', 'Resident Alien', 'The Black Cauldron', 'The Pity of War: The Loves and Lives of the War Poets', 'Interview with John Hurt', 'Whaledreamers', 'Thumbelina', ""Harry Potter and the Philosopher's Stone"", 'The Hit', 'Love and Death on Long Island', 'Rocinante', 'The Plague Dogs', 'King Lear', 'The Climb', 'The Journey', 'The Skeleton Key', 'Even Cowgirls Get the Blues', 'East of Elephant Rock', ""Alpha to Omega: Exposing 'The Osterman Weekend'"", 'The Shout', 'Red Fox', 'Lou', 'Tinker Tailor Soldier Spy', 'Watership Down', 'Swan Lake 3D - Live from the Mariinsky Theatre', 'Making History: Mel Brooks on Creating the World', 'Snowpiercer', 'Bandyta', 'Planet Dinosaur: Ultimate Killers', 'An Evening with Quentin Crisp', 'Recount', ""The Gruffalo's Child"", 'Pride', 'The Alan Clark Diaries', 'The Journey – Stories from the 2010 FIFA World Cup South Africa', 'ChickLit', 'A Man for All Seasons', 'Vincent', 'Hercules', 'Boxes', 'Parkinson', 'The Beast Within: Making Alien', 'Edge of the Universe', 'All the Little Animals', 'Meeting Che Guevara & the Man from Maybury Hill', 'The Field', 'The Oxford Murders'}"
Tom Felton,"{'The LP Show - Act 3', 'Gandhi', 'Labyrinth', 'Altered', 'They Will Kill You', 'Canyon of the Dead', 'The Flash', 'In Secret', 'The Late Late Show with Craig Ferguson', 'Goy', 'Braking for Whales', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Deathly Hallows: Part 1', 'Some Other Woman', 'Murder in the First', 'Tom Felton Meets the Superfans', 'The Apparition', ""Harry Potter and the Philosopher's Stone"", '8 Out of 10 Cats', 'Second Sight', 'Risen', 'Lead Heads', 'When Harry Left Hogwarts', 'Last Call with Carson Daly', 'Anna and the King', 'White Other', 'Harry Potter and the Order of the Phoenix', 'The Forgotten Battle', 'Daniel Radcliffe: Being Harry Potter', 'Harry Potter and the Half-Blood Prince', 'Message from the King', 'Get Him to the Greek', 'Origin', 'Teen Choice Awards', 'Conan', ""How I Didn't Become a Piano Player"", 'Belle', 'Harry Potter: Hogwarts Tournament of Houses', 'A United Kingdom', 'Burial', 'Feed', 'Harry Potter 20th Anniversary: Return to Hogwarts', 'Megan Leavey', 'Live from Studio Five', 'The Magic Touch of Harry Potter', 'Home Farm Twins', 'From the Rough', '13Hrs', 'Stratton', 'David Holmes: The Boy Who Lived', 'The Borrowers', 'Harry Potter and the Prisoner of Azkaban', '(K)nox: The Rob Knox Story', 'Save the Cinema', 'Smoke Out', 'Rise of the Planet of the Apes', 'Ophelia', 'OK! TV', 'The Disappeared', 'The Frame', 'Harry Potter and the Goblet of Fire', ""A Babysitter's Guide to Monster Hunting"", 'Harry Potter and the Deathly Hallows: Part 2', 'Against the Sun', 'Bugs'}"
