actor,movie_or_TV_name
Leslie Phillips,"Carry On Teacher,Caught in the Act,Les Girls,Watch Your Stern,Not Now Darling,Colour Me Kubrick,The Citadel,The Ruth Rendell Mysteries,The Smallest Show on Earth,GLC: The Carnage Continues,Dennis the Menace and Gnasher,Raising the Wind,Armchair Theatre,August,Super Gran,Some Will, Some Won't,The Adventures of Robin Hood,Heartbeat,The Comic Strip - A Retrospective,The Thief of Bagdad,The Night We Dropped a Clanger,Life After Life,The Invisible Man,Summer's Lease,The Heaven and Earth Show,Carry On Constable,Time Bomb,Ferdinand I King of Naples,The Four Feathers,The Gong Game,Who Bombed Birmingham?,Crooks Anonymous,Die Katze von Kensington,Monarch of the Glen,Saving Grace,Please Turn Over,Hotel Caledonia,Out of Africa,Doctor in Trouble,Value for Money,As Long as They're Happy,Cinderella,Midsomer Murders,Churchill: The Hollywood Years,The House of Windsor,Drama Trails,Hello: A Portrait Of Leslie Phillips,In the Doghouse,The Big Money,Father Came Too!,Thunderpants,Not Now, Comrade,No Kidding,Der Blinde,That's Carry On!,Train of Events,Aladdin: The ITV Pantomime,Tales from the Crypt,Agatha Christie's The Pale Horse,Just My Luck,The Gamma People,Blandings Castle,Harry Potter and the Deathly Hallows: Part 2,What's a Carry On?,Doctor in Love,The Trials of Oz,Bermuda Grace,Plunder,Don't Just Lie There, Say Something!,The Canterville Ghost,Honey for Tea,Empire of the Sun,This Other Eden,The Errol Flynn Theatre,Spanish Fly,Inn for Trouble,Our Man At St Mark's,Thacker,A Weekend with Lulu,The Woman with No Name,The Angry Hills,Two Golden Balls,Harry Potter and the Chamber of Secrets,Mountains of the Moon,Performance,The Week We Went To War,Brothers in Law,Harry Potter and the Philosopher's Stone,Alan Carr's Celebrity Ding Dong,The Navy Lark,Pool of London,Venus,It's Only TV But I Like It,Rumpole of the Bailey,The Jackal,I Was Monty's Double,The Limping Man,Carry On Columbus,The Last Detective,The Bill,Outside the Rules,Oxford,Is Anybody There?,Scandal,Doctor in Clover,The Sound Barrier,Agatha Christie's Marple,Collusion,Maroc 7,After Death,Millions,The Proud Valley,Wire Service,The Changeling,The Magnificent Seven Deadly Sins,The Galloping Major,Late Bloomers,The Comic Strip Presents...,Lassie from Lancashire,The Fake,Love on a Branch Line,The Fast Lady,You Must Be Joking,Carry On Nurse,High Flight,The Man Who Liked Funerals,The Longest Day,Lovejoy,Britain's Ugliest Models,Take a Girl Like You,Casanova '73,Lara Croft: Tomb Raider,Dalziel & Pascoe,Das Karussell des Todes,King Ralph,The Mikado,Very Important Person,Sword of Honour,Royal Celebration"
Harry Taylor,"Dark Shadows,Harry Potter and the Philosopher's Stone,Enid,The Trip to Greece,Sweeney Todd: The Demon Barber of Fleet Street,Charlie and the Chocolate Factory,Mission Manila,Harry Potter and the Chamber of Secrets,Demon of Paradise,Alice in Wonderland,The Da Vinci Code"
Terence Bayler,"Dr. Watson and the Darkwater Hall Mystery,The Venturers,Life of Brian,Renoir, My Father,Upstairs, Downstairs,Pulaski,The Rivals of Sherlock Holmes,You Can't Win,Doctor Who: The War Games,Crystalstone,Justice,Old Man March Is Dead,Time Bandits,Broken Barrier,Chemical Wedding,Traitor,Life Begins,The Remains of the Day,This Office Life,The Vanishing Army,The Snow Queen,Macbeth,The Regiment,The Light Princess,Mystery and Imagination,Doctor Who,Harry Potter and the Philosopher's Stone,The Lie,Brazil,Special Branch,Doctor Who: The Ark,Eye of the Storm,The Hunchback of Notre Dame,Play for Today"
Will Theakston,"Harry Potter and the Philosopher's Stone,The Ghost Hunter"
Danielle Tabor,"Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Prisoner of Azkaban"
Nina Young,"The Surfer,England, My England,Warrior Angels,Game On,The Magnificent Eleven,The Woman on the Cliff,Sliding Doors,Pilgrim's Rest,Molly Moon and the Incredible Book of Hypnotism,The Demon Headmaster,Out of the Ashes,Two Golden Balls,Johnny English,How to Please a Woman,Harry Potter and the Philosopher's Stone,Tomorrow Never Dies,Take a Girl Like You,Clash of the Titans,The Mistress of Spices,A Lump In My Throat,Things to Do Before You're 30"
Richard Bremmer,"The Alienist,Mr. Turner,Just Visiting,Stars of the Roller State Disco,The Aryan Couple,Murder on the Home Front,Agatha Christie's Marple,Half Past Dead,Made in Britain,The Lost Explorer,The Power of Three,Crime and Punishment,By the Sword Divided,Scarlet and Black,In the Heart of the Sea,The Third Day,Les Misérables,The Order,To Kill a King,In Fabric,Perdition County,Zastrozzi: A Romance,Star Wars: The Rise of Skywalker,Flux Gourmet,Macbeth,Shanghai Knights,The Song of Names,The Hollow Crown,Performance,Harry Potter and the Philosopher's Stone,Mr. Loveday's Little Outing,City Slacker,Ourhouse,Charles II: The Power and The Passion,Beowulf: Return to the Shieldlands,Richard II,The Girl with Brains in Her Feet,Kingdom,Volpone,Ripper 2: Letter from Within,Peak Practice,Control,Viper in the Fist,Twelfth Night, or What You Will,The 13th Warrior,Onegin,Swallows and Amazons"
Elizabeth Spriggs,"Soldier Soldier,Middlemarch,Black and Blue,BBC Play of the Month,Alice in Wonderland,Shine on Harvey Moon,Jericho,An Unsuitable Job for a Woman,The Kindness of Mrs Radcliffe,The Ruth Rendell Mysteries,The Haunting of Cassie Palmer,The Hour of the Pig,A Pinch of Snuff,The Cold Room,Heartbeat,The Barber of Siberia,Takin' Over the Asylum,The Queen of Sheba's Pearls,Intensive Care,Paradise Road,Our Winnie,The Last Vampyre,Spider's Web,Sense and Sensibility,Midsomer Murders,The Merry Wives of Windsor,Doctor Who: Paradise Towers,Nice Guy Eddie,The Dybbuk,Leeds United!,The Sleeper,Love Soup,Doctor Who,Fothergill,Victorian Scandals,Wives and Daughters,Tales from the Crypt,Lady Chatterley's Lover,Agatha Christie's Poirot,Able's Will,Young Charlie Chaplin,Parker,The Enigma,Objects of Affection,A Christmas Carol,Anglo Saxon Attitudes,James Ellis: An Actor's Life,Work Is a 4-Letter Word,The Young Indiana Jones Chronicles,Bergerac,The Glittering Prizes,All's Well That Ends Well,Impromptu,Simon and the Witch,The Royal,Randall & Hopkirk (Deceased),Casualty,Kind of Living,Harry Potter and the Philosopher's Stone,The Expert,Sakharov,Watching,Julius Caesar,Survival of the Fittest,Is Anybody There?,The Thirteenth Day of Christmas,Festival,The Cause,Those Glory Glory Days,Afternoon Off,Prometheus: The Life of Balzac,Tales of the Unexpected,The Old Devils,Time for Murder,Richard's Things,Love Letters on Blue Paper,The Devil's Disciple,Lovejoy,Class Act,Fox,Oranges Are Not the Only Fruit,Jeeves and Wooster,Martin Chuzzlewit,BBC Television Shakespeare,Sherlock Holmes,For My Baby,The Adventures of Young Indiana Jones: Adventures in the Secret Service,Shackleton,Rust,3 Into 2 Won't Go,The Secret Agent,Play for Today"
Geraldine Somerville,"Goodbye Christopher Robin,The Bill,Harry Potter and the Deathly Hallows: Part 2,True Blue,Titanic,The Gentlemen,Automata,Quirke,Survivors,Gorka,Jericho,Aristocrats,Kiss Me First,The Inspector Lynley Mysteries,My Week with Marilyn,Daphne,Grace of Monaco,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Inspector George Gently,After Miss Julie,Harry Potter and the Deathly Hallows: Part 1,Prime Suspect 1973,The Deep Blue Sea,Gosford Park,Romeo and Juliet,The Black Velvet Gown,The Riot Club,Murder in Mind,Sixty Six,Performance,The Hippopotamus,Cracker,Christmas in the Highlands,Casualty,Harry Potter and the Philosopher's Stone,The Girl,Fair Play,Daylight Robbery,Jilting Joe,The Children,Harry Potter and the Goblet of Fire,The Safe House,The Making of 'Gosford Park',Silent Witness,Haunted,Kids in Love,Agatha Christie's Poirot,Close My Eyes,New Tricks,A Business Affair,Harry Potter and the Prisoner of Azkaban"
Derek Deadman,"The Modern World: Ten Great Writers,The Beggar's Opera,Honest,Never the Twain,Doctor Who: The Invasion of Time,Dr. Watson and the Darkwater Hall Mystery,The Darwin Adventure,The Apple,Bread,BBC2 Play of the Week,Queen Kong,The Scarlet Pimpernel,Funny Money,The Sooty Show,Time Bandits,Jabberwocky,The Taming of the Shrew,Morons from Outer Space,Crush,Robin's Nest,Super Gran,Frankenstein: The True Story,The Canterbury Tales,A Nightingale Sang In Berkeley Square,Lost In London,The Sign of Four,Sooty & Co.,Never Say Never Again,Robin Hood: Prince of Thieves,The Knowledge,Doctor Who,Harry Potter and the Philosopher's Stone,She Fell Among Thieves,The Glitterball,Sherlock Holmes,Brazil,The Sweeney,National Lampoon's European Vacation,Porridge,A Little Bit Of Wisdom,The Big Sleep"
